# rta
#: time in fs  dipole-momenta: x   y   z
  16.06880   0.14278722E-03   0.57316224E-04   0.10919528E+00
  16.11720   0.14213817E-03   0.53173771E-04   0.40137989E+00
  16.16560   0.13638251E-03   0.50088199E-04   0.67828214E+00
  16.21400   0.12615279E-03   0.47856225E-04   0.92910509E+00
  16.26240   0.11230198E-03   0.46330023E-04   0.11440351E+01
  16.31080   0.95798341E-04   0.45473877E-04   0.13144768E+01
  16.35920   0.77792700E-04   0.45110748E-04   0.14333259E+01
  16.40760   0.59589608E-04   0.44959427E-04   0.14952791E+01
  16.45600   0.36624198E-05  -0.11084464E-03   0.14944142E+01
  16.50440  -0.97752743E-06  -0.11365101E-03   0.14355013E+01
  16.55280   0.24578488E-05  -0.11361195E-03   0.13176717E+01
  16.60120   0.13766198E-04  -0.11071504E-03   0.11454656E+01
  16.64960   0.32292284E-04  -0.10545872E-03   0.92590718E+00
  16.69800   0.56974939E-04  -0.98499959E-04   0.66818505E+00
  16.74640   0.86615974E-04  -0.90364625E-04   0.38315487E+00
  16.79480   0.11989095E-03  -0.81850674E-04   0.82736626E-01
  16.84320   0.15530087E-03  -0.73528384E-04  -0.22075015E+00
  16.89160   0.19131748E-03  -0.65996005E-04  -0.51512941E+00
  16.94000   0.20449888E-03   0.20393196E-03  -0.78350495E+00
  16.98840   0.23385930E-03   0.20433255E-03  -0.10250243E+01
  17.03680   0.25723562E-03   0.19329288E-03  -0.12256066E+01
  17.08520   0.27310713E-03   0.17094888E-03  -0.13771585E+01
  17.13360   0.28016042E-03   0.13763855E-03  -0.14732578E+01
  17.18200   0.27744719E-03   0.94294731E-04  -0.15095153E+01
  17.23040   0.26422493E-03   0.42460797E-04  -0.14838899E+01
  17.27880   0.24010366E-03  -0.15860867E-04  -0.13969302E+01
  17.32720   0.20498527E-03  -0.78185083E-04  -0.12519035E+01
  17.37560   0.15935772E-03  -0.14165339E-03  -0.10547737E+01
