# TDLDA
# time in fs  dipole-momenta: x   y   z
  10.79320  -0.15224078E-07  -0.56194183E-09  -0.63772877E+00
  10.84160  -0.86383717E-08  -0.10769528E-08  -0.73800413E+00
  10.89000  -0.16406326E-08  -0.15194336E-08  -0.81349244E+00
  10.93840   0.55347950E-08  -0.18763644E-08  -0.86098557E+00
  10.98680   0.12636461E-07  -0.21395384E-08  -0.87820047E+00
  11.03520   0.19404662E-07  -0.23054511E-08  -0.86389696E+00
  11.08360   0.25581843E-07  -0.23750001E-08  -0.81796461E+00
  11.13200   0.30923988E-07  -0.23529835E-08  -0.74146833E+00
  11.18040   0.35212241E-07  -0.22474808E-08  -0.63664567E+00
  11.22880   0.38263906E-07  -0.20690817E-08  -0.50685114E+00
  11.27720   0.39942460E-07  -0.18300873E-08  -0.35644906E+00
  11.32560   0.40165167E-07  -0.15436740E-08  -0.19065238E+00
  11.37400   0.38907153E-07  -0.12230902E-08  -0.15317198E-01
  11.42240   0.36202463E-07  -0.88098638E-09   0.16328396E+00
  11.47080   0.32142288E-07  -0.52893606E-09   0.33869422E+00
  11.51920   0.26870796E-07  -0.17716934E-09   0.50450034E+00
  11.56760   0.20578976E-07   0.16550868E-09   0.65454780E+00
  11.61600   0.13497464E-07   0.49161714E-09   0.78314599E+00
  11.66440   0.58881090E-08   0.79483621E-09   0.88526309E+00
  11.71280  -0.19655871E-08   0.10698182E-08   0.95670193E+00
  11.76120  -0.97684912E-08   0.13119816E-08   0.99426523E+00
  11.80960  -0.17224645E-07   0.15173591E-08   0.99590893E+00
  11.85800  -0.24048948E-07   0.16825297E-08   0.96086869E+00
  11.90640  -0.29979193E-07   0.18046446E-08   0.88974437E+00
  11.95480  -0.34787680E-07   0.18814956E-08   0.78453116E+00
  12.00320  -0.38291640E-07   0.19116360E-08   0.64858709E+00
  12.05160  -0.40361568E-07   0.18945452E-08   0.48653115E+00
  12.10000  -0.40927393E-07   0.18307286E-08   0.30407549E+00
  12.14840  -0.39980645E-07   0.17217535E-08   0.10779051E+00
  12.19680  -0.37572427E-07   0.15703070E-08  -0.95171395E-01
  12.24520  -0.33808485E-07   0.13801960E-08  -0.29736163E+00
  12.29360  -0.28842375E-07   0.11562419E-08  -0.49131226E+00
  12.34200  -0.22867409E-07   0.90413115E-09  -0.66979144E+00
  12.39040  -0.16108652E-07   0.63022204E-09  -0.82603871E+00
  12.43880  -0.88148496E-08   0.34138957E-09  -0.95398775E+00
